compound,neg,neu,pos
0.9867,0.013,0.773,0.214
0.9899,0.078,0.65,0.272
0.9864,0.016,0.706,0.278
0.9524,0.031,0.775,0.194
0.9873,0.031,0.653,0.315
0.9935,0.014,0.691,0.295
0.9977,0.02,0.554,0.426
0.9964,0.069,0.622,0.31
0.9484,0.068,0.768,0.164
0.9861,0.06,0.693,0.247
0.9976,0.012,0.564,0.424
0.9935,0.049,0.716,0.235
0.9875,0.014,0.646,0.34
0.9955,0.043,0.583,0.373
0.9829,0.019,0.82,0.161
0.9959,0.023,0.671,0.306
0.9899,0.008,0.748,0.244
0.995,0.084,0.641,0.275
0.9946,0.029,0.708,0.263
0.9859,0.048,0.704,0.248
0.9954,0.0,0.593,0.407
0.9931,0.021,0.708,0.271
0.99,0.066,0.646,0.288
0.9841,0.035,0.746,0.219
0.9968,0.012,0.623,0.365
0.9862,0.04,0.627,0.333
0.9877,0.029,0.779,0.192
0.9686,0.096,0.694,0.21
0.9916,0.0,0.697,0.303
0.9362,0.135,0.653,0.212
0.994,0.012,0.787,0.201
0.9938,0.069,0.676,0.254
0.9853,0.028,0.786,0.186
0.9896,0.014,0.738,0.248
0.9967,0.035,0.592,0.373
0.9977,0.007,0.53,0.463
0.9975,0.0,0.62,0.38
0.9939,0.044,0.654,0.302
0.9888,0.044,0.749,0.207
0.9938,0.037,0.619,0.345
0.987,0.096,0.579,0.325
0.9901,0.031,0.595,0.374
0.9776,0.0,0.803,0.197
0.9771,0.056,0.748,0.196
0.9904,0.0,0.682,0.318
0.7269,0.02,0.893,0.087
0.9731,0.076,0.711,0.213
0.9861,0.027,0.726,0.247
0.9844,0.087,0.6,0.313
0.9866,0.011,0.783,0.206
0.9958,0.064,0.633,0.304
0.9873,0.011,0.789,0.2
0.9885,0.026,0.709,0.266
0.9938,0.045,0.594,0.362
0.9936,0.043,0.676,0.281
0.9821,0.027,0.794,0.179
0.9817,0.032,0.73,0.238
0.8316,0.088,0.749,0.163
0.9916,0.052,0.687,0.26
0.9658,0.062,0.736,0.202
0.9958,0.016,0.617,0.367
0.9856,0.088,0.568,0.344
0.9694,0.016,0.812,0.172
0.9873,0.038,0.718,0.245
0.9894,0.017,0.758,0.225
0.9935,0.038,0.515,0.446
0.9945,0.054,0.658,0.288
0.9794,0.028,0.742,0.23
0.998,0.022,0.666,0.312
0.9945,0.054,0.658,0.288
0.9694,0.0,0.849,0.151
0.9919,0.014,0.749,0.237
0.9951,0.025,0.732,0.243
0.9901,0.093,0.605,0.302
0.9873,0.0,0.666,0.334
0.9937,0.032,0.63,0.338
0.9941,0.043,0.712,0.244
0.9901,0.06,0.732,0.207
0.9399,0.013,0.81,0.177
0.8913,0.101,0.714,0.185
0.9586,0.017,0.838,0.145
0.9423,0.035,0.805,0.16
0.9971,0.008,0.681,0.311
-0.0299,0.099,0.812,0.089
0.9931,0.063,0.657,0.281
0.9912,0.012,0.725,0.264
0.9955,0.009,0.755,0.235
0.9962,0.041,0.595,0.364
0.9862,0.029,0.63,0.341
0.9079,0.066,0.758,0.176
0.9957,0.017,0.735,0.248
0.9643,0.035,0.834,0.131
0.9793,0.065,0.726,0.208
0.9802,0.049,0.809,0.142
0.9951,0.047,0.7,0.253
0.9858,0.067,0.694,0.239
0.9172,0.027,0.778,0.195
0.967,0.0,0.774,0.226
0.9889,0.042,0.704,0.254
0.9774,0.0,0.784,0.216
0.9954,0.038,0.588,0.374
0.9871,0.036,0.762,0.202
0.9917,0.0,0.731,0.269
0.9709,0.035,0.762,0.203
0.9903,0.0,0.746,0.254
0.9517,0.066,0.71,0.223
0.996,0.038,0.66,0.302
0.9909,0.043,0.653,0.305
0.9646,0.088,0.607,0.305
0.9888,0.021,0.768,0.211
0.9951,0.056,0.652,0.292
0.7103,0.042,0.846,0.112
0.9896,0.03,0.715,0.255
0.9959,0.025,0.68,0.295
0.99,0.088,0.57,0.342
0.9929,0.05,0.659,0.291
0.9729,0.013,0.803,0.184
0.9981,0.037,0.627,0.336
0.99,0.078,0.641,0.281
0.9831,0.022,0.737,0.242
0.9893,0.093,0.563,0.344
